PEARSEDA,PERSEDA_CODE,TOTAL_DA
Arctic Coast - Islands,8,1743114
Assiniboine - Red,12,190635
Churchill,15,313412
Columbia,4,87299
Fraser - Lower Mainland,2,233086
Great Lakes,19,316976
Keewatin - Southern Baffin,16,933312
Lower MacKenzie,7,1329984
Lower Saskatchewan - Nelson,14,360873
Maritime Coastal,24,120105
Missouri,9,26986
Newfoundland - Labrador,25,372411
North Saskatchewan,10,150151
North Shore - Gaspé,22,368183
Northern Ontario,17,691609
Northern Quebec,18,938210
Okanagan - Similkameen,3,15594
Ottawa,20,146352
Pacific Coastal,1,329961
Peace - Athabasca,6,485146
Saint John - St. Croix,23,41762
South Saskatchewan,11,177601
St. Lawrence,21,118334
Winnipeg,13,107612
Yukon,5,332783
