Station,OriginalDrainageArea,HasShapefile,BorderStation,GoesOutsidePDA,FinalArea,Comments
01AD002,14700,Yes,Yes,,4229.55,
01AD003,1350,Yes,Yes,,1023.92,
01AE001,2260,Yes,Yes,,0,Completely in Maine
01AF002,21900,Yes,Yes,,10863.37,
01AF007,339,Yes,,,339,
01AF009,182,Yes,,,182,
01AG003,6060,Yes,Yes,,36.67,
01AH002,2230,Yes,,,2230,
01AJ003,1210,Yes,Yes,,106.35,
01AJ004,484,Yes,Yes,,50.82,
01AJ010,350,Yes,,,350,
01AK001,234,Yes,,,234,
01AK006,5.7,Yes,,,5.7,
01AK007,240,Yes,,,240,
01AL002,1450,Yes,,,1450,
01AL004,3.89,Yes,,,3.89,
01AM001,557,Yes,,,557,
01AN002,1050,Yes,,,1050,
01AP002,668,Yes,,,668,
01AP004,1100,Yes,,,1100,
01AP006,293,Yes,,,293,
01AQ001,239,Yes,,,239,
01AQ002,1420,Yes,,,1420,
01AR004,1080,Yes,Yes,,766.34,
01AR005,3550,Yes,Yes,,1151.77,
01AR006,115,Yes,,,115,
01AR011,357,Yes,Yes,,135.42,
01BC001,3160,Yes,,,3160,
01BE001,2270,Yes,,,2270,
01BJ003,510,Yes,,,510,
01BJ007,7740,Yes,,,7740,
01BJ010,217,Yes,,,217,
01BJ012,43.2,Yes,,,43.2,
01BL002,173,Yes,,,173,
01BL003,383,Yes,,,383,
01BO001,5050,Yes,,,5050,
01BP001,1340,Yes,,,1340,
01BP002,28.7,Yes,,,28.7,
01BQ001,948,Yes,,,948,
01BS001,166,Yes,,,166,
01BU002,391,Yes,,,391,
01BU009,6.2,Yes,,,6.2,
01BV004,40.4,Yes,,,40.4,
01BV006,130,Yes,,,130,
01CA003,46.8,Yes,,,46.8,
01CB002,114,Yes,,,114,
01CB004,45.4,Yes,,,45.4,
01CC002,37.5,Yes,,,37.5,
01CC005,70.1,Yes,,,70.1,
01CC010,16.8,Yes,,,16.8,
01CD005,14.8,Yes,,,14.8,
01DC005,546,Yes,,,546,
01DC007,1020,Yes,,,1020,
01DD002,90.8,Yes,,,90.8,
01DD005,15.7,Yes,,,15.7,
01DG003,96.9,Yes,,,96.9,
01DJ005,89,Yes,,,89,
01DL001,63.2,Yes,,,63.2,
01DP004,92.2,Yes,,,92.2,
01DR001,177,Yes,,,177,
01EA003,1070,Yes,,,1070,
01EC001,495,Yes,,,495,
01ED005,723,Yes,,,723,
01ED007,295,Yes,,,295,
01ED013,268,Yes,,,268,
01EE005,17.7,Yes,,,17.7,
01EF001,1250,Yes,,,1250,
01EJ001,146,Yes,,,146,
01EJ004,13.1,Yes,,,13.1,
01EO001,1350,Yes,,,1350,
01FA001,193,Yes,,,193,
01FB001,368,Yes,,,368,
01FB003,357,Yes,,,357,
01FC002,190,Yes,,,190,
01FF001,123,Yes,,,123,
01FG001,14,Yes,,,14,
01FJ002,17.2,Yes,,,17.2,
02AB006,6466.65,Yes,,,6466.65,
02AB008,187,Yes,,,187,
02AB014,104.7,Yes,,,104.7,
02AB017,225.81,Yes,,,225.81,
02AB019,45.63,Yes,,,45.63,
02AB020,83.11,Yes,,,83.11,
02AB021,406.84,Yes,,,406.84,
02AB022,42.57,Yes,,,42.57,
02AB023,180.88,Yes,,,180.88,
02AB024,54.2,Yes,,,54.2,
