STATION_NUMBER,PEARSEDA,PERSEDA_CODE
01AD,Saint John - St. Croix,23
01AE,Saint John - St. Croix,23
01AF,Saint John - St. Croix,23
01AG,Saint John - St. Croix,23
01AH,Saint John - St. Croix,23
01AJ,Saint John - St. Croix,23
01AK,Saint John - St. Croix,23
01AL,Saint John - St. Croix,23
01AM,Saint John - St. Croix,23
01AN,Saint John - St. Croix,23
01AO,Saint John - St. Croix,23
01AP,Saint John - St. Croix,23
01AQ,Saint John - St. Croix,23
01AR,Saint John - St. Croix,23
01B1,Maritime Coastal,24
01BA,Maritime Coastal,24
01BB,Maritime Coastal,24
01BC,Maritime Coastal,24
01BD,Maritime Coastal,24
01BE,Maritime Coastal,24
01BF,Maritime Coastal,24
01BG,Maritime Coastal,24
01BH,Maritime Coastal,24
01BJ,Maritime Coastal,24
01BK,Maritime Coastal,24
01BL,Maritime Coastal,24
01BM,Maritime Coastal,24
01BN,Maritime Coastal,24
01BO,Maritime Coastal,24
01BP,Maritime Coastal,24
01BQ,Maritime Coastal,24
01BR,Maritime Coastal,24
01BS,Maritime Coastal,24
01BT,Maritime Coastal,24
01BU,Maritime Coastal,24
01BV,Maritime Coastal,24
01CA,Maritime Coastal,24
01CB,Maritime Coastal,24
01CC,Maritime Coastal,24
01CD,Maritime Coastal,24
01CE,Maritime Coastal,24
01DA,Maritime Coastal,24
01DB,Maritime Coastal,24
01DC,Maritime Coastal,24
01DD,Maritime Coastal,24
01DE,Maritime Coastal,24
01DF,Maritime Coastal,24
01DG,Maritime Coastal,24
01DH,Maritime Coastal,24
01DJ,Maritime Coastal,24
01DK,Maritime Coastal,24
01DL,Maritime Coastal,24
01DM,Maritime Coastal,24
01DN,Maritime Coastal,24
01DO,Maritime Coastal,24
01DP,Maritime Coastal,24
01DQ,Maritime Coastal,24
01DR,Maritime Coastal,24
01DS,Maritime Coastal,24
01EA,Maritime Coastal,24
01EB,Maritime Coastal,24
01EC,Maritime Coastal,24
01ED,Maritime Coastal,24
01EE,Maritime Coastal,24
01EF,Maritime Coastal,24
01EG,Maritime Coastal,24
01EH,Maritime Coastal,24
01EJ,Maritime Coastal,24
01EK,Maritime Coastal,24
01EL,Maritime Coastal,24
01EM,Maritime Coastal,24
01EN,Maritime Coastal,24
01EO,Maritime Coastal,24
01EP,Maritime Coastal,24
01EQ,Maritime Coastal,24
01ER,Maritime Coastal,24
01FA,Maritime Coastal,24
01FB,Maritime Coastal,24
01FC,Maritime Coastal,24
01FD,Maritime Coastal,24
01FE,Maritime Coastal,24
01FF,Maritime Coastal,24
01FG,Maritime Coastal,24
01FH,Maritime Coastal,24
01FJ,Maritime Coastal,24
02AB,Great Lakes,19
02AC,Great Lakes,19
02AD,Great Lakes,19
02AE,Great Lakes,19
02BA,Great Lakes,19
02BB,Great Lakes,19
02BC,Great Lakes,19
02BD,Great Lakes,19
02BE,Great Lakes,19
02BF,Great Lakes,19
02CA,Great Lakes,19
02CB,Great Lakes,19
02CC,Great Lakes,19
02CD,Great Lakes,19
02CE,Great Lakes,19
02CF,Great Lakes,19
02CG,Great Lakes,19
02CH,Great Lakes,19
02DA,Great Lakes,19
02DB,Great Lakes,19
02DC,Great Lakes,19
02DD,Great Lakes,19
02EA,Great Lakes,19
02EB,Great Lakes,19
02EC,Great Lakes,19
02ED,Great Lakes,19
02FA,Great Lakes,19
02FB,Great Lakes,19
02FC,Great Lakes,19
02FD,Great Lakes,19
