"PERSEDA_CODE","Flow_Type","TOTAL_DA","TotalGauged","MajorDrainage","Low","LowDrainage","Normal","NormalDrainage","High","HighDrainage"
1,"Normal",329961,0.3866,0.3662,13,0.0127,18,0.3662,1,0.0077
2,"Normal",233086,0.9376,0.9333,1,0.0033,3,0.9333,1,0.001
3,"Normal",15594,0.8873,0.5084,1,0.3228,2,0.5084,1,0.0561
4,"Normal",87299,0.9025,0.8986,1,0.004,4,0.8986,NA,NA
6,"Normal",485146,0.9032,0.6096,NA,NA,2,0.6096,2,0.2936
7,"Normal",1329984,0.1486,0.1269,1,0.02,3,0.1269,2,0.0017
9,"High",26986,0.5848,0.3165,NA,NA,8,0.2683,4,0.3165
10,"High",150151,0.9758,0.9758,NA,NA,NA,NA,1,0.9758
11,"Normal",177601,0.8815,0.8815,NA,NA,1,0.8815,NA,NA
12,"Normal",190635,0.7933,0.7449,1,0.0034,4,0.7449,3,0.0451
13,"Normal",107612,0.9429,0.9429,NA,NA,3,0.9429,NA,NA
14,"Normal",360873,0.9607,0.8667,NA,NA,6,0.8667,2,0.0939
15,"High",313412,0.9281,0.9221,NA,NA,1,0.006,1,0.9221
16,"High",933312,0.0515,0.0515,NA,NA,NA,NA,1,0.0515
17,"Normal",691609,0.3587,0.3587,NA,NA,8,0.3587,NA,NA
18,"Normal",938210,0.0039,0.0039,NA,NA,1,0.0039,NA,NA
19,"Normal",316976,0.3159,0.2919,2,0.0162,89,0.2919,4,0.0079
20,"Normal",146352,0.8693,0.7989,NA,NA,9,0.7989,1,0.0704
21,"Normal",118334,0.5201,0.3254,1,0.0087,36,0.3254,1,0.1859
22,"Normal",368183,0.1125,0.1033,1,0.0092,10,0.1033,NA,NA
23,"Normal",41762,0.4644,0.4616,NA,NA,10,0.4616,1,0.0028
24,"Normal",120105,0.2138,0.1938,NA,NA,24,0.1938,6,0.02
25,"Normal",372411,0.1362,0.1299,1,0,44,0.1299,1,0.0062
